IID	ntile_PGS_LDP2Auto	ntile_PGS_prscsx	ntile_PGS000010	ntile_PGS000011	ntile_PGS000012	ntile_PGS000013	ntile_PGS000018	ntile_PGS000019	ntile_PGS000057	ntile_PGS000058	ntile_PGS000059	ntile_PGS000116	ntile_PGS000200	ntile_PGS000296	ntile_PGS000329	ntile_PGS000337	ntile_PGS000349	ntile_PGS000746	ntile_PGS000747	ntile_PGS000748	ntile_PGS000749	ntile_PGS000798	ntile_PGS000818	ntile_PGS000899	ntile_PGS000962	ntile_PGS001355	ntile_PGS001780	ntile_PGS001839	ntile_PGS002048	ntile_PGS002244	ntile_PGS002262	ntile_PGS002775	ntile_PGS002776	ntile_PGS002777	ntile_PGS002778	ntile_PGS002809	ntile_PGS003355	ntile_PGS003356	ntile_PGS003438	ntile_PGS003446	ntile_PGS003725	ntile_PGS003726	ntile_PGS003727
HG00108	11.6893280995669	21.3832123971681	49.0753770731655	83.0884197229394	10.6152644434927	17.4752693136879	5.4780771129939	26.573506545368	61.6933157699997	44.1233366133619	44.3991930609022	47.7195151922305	78.9485506988655	27.9268474324561	87.6985755792303	15.3322661685641	55.0921174131852	37.2771189646766	10.0807785471344	11.71275833459	13.090633739838	71.996550421365	74.9157540918547	40.3874065097406	75.3967935075095	18.905265556979	23.9326279359385	61.4798009109456	62.800564022966	54.6504918950963	7.13290489018653	34.3117109128899	15.5540246913573	40.4522471093375	49.235508052851	51.1099224834254	9.71458446184338	32.1600892884633	31.5731657505877	13.8545586271508	22.4779350720042	18.1155259144058	27.1806251539674
HG00109	90.6180582898817	95.4809473208244	27.5952233334638	66.6976830040845	76.2407527294946	86.7491149218534	83.3447740960434	54.3332674946011	72.4712679299956	96.4908779521361	44.4872714305307	19.3203434865332	49.7769934938762	83.8223091174738	86.345729934642	94.4836479497062	91.8220388032561	68.4362597660117	69.5575886848484	75.4010001474277	76.0690990497152	98.5581547616818	95.5680909075515	93.3437503824941	69.9162191648933	92.3748512826429	85.7328192222358	86.139988164817	94.5658641979243	85.8562975710137	92.6298461577219	79.6521886177201	74.384441722624	50.0858114910736	42.7834806036919	98.7703204582806	72.6236314149486	90.6470908795363	87.5019403218983	81.6999856834485	82.4284953445852	88.0857850691483	53.305465937761
HG00110	85.9254646423319	89.0660398958669	46.5944814516354	46.7578379242326	80.6553429066211	53.1972702776176	71.7027116948016	74.4377782972316	16.7870460445827	85.9992684965015	49.8614832020848	27.2646732719256	47.6821846745949	46.6473218198639	61.7678858415389	92.5420508727023	61.705484543858	53.5627171782061	31.4946812450378	66.575709529349	69.9430157098076	80.541757299744	86.0555456214107	84.5067632932125	8.71841051775767	66.3319370465994	59.2246008657684	86.0881233858524	68.9106974769758	41.5258903245307	50.2254798332913	56.8065450805738	62.682402591146	23.1164616520129	12.4212076512141	70.5018594782071	57.3519372214637	94.7560693780568	87.5791969660117	15.2155841267301	71.1873216359975	77.0469267247423	42.302209525469
HG00111	69.6797208596087	75.9925637958909	8.21655822214267	44.1101863832984	26.597068822268	66.7742244776113	70.4672517965556	59.5423852262539	96.2265994038389	69.6247650001695	34.1652163226813	74.6932233749261	13.5817791963276	65.0704519518385	30.7246507278803	91.4281701123489	49.2854221431563	41.9051273510261	46.3328321709668	61.7915731721718	60.3531498963597	51.0662339415195	70.9925142925272	34.8676888518373	17.6398250634304	67.0757882758784	73.5672787748869	29.9656449823055	41.1429020471794	64.3574641912851	45.3718263121527	43.5261248365499	69.8518732261032	87.9222173288379	69.2969661926361	58.2692741053562	71.8934704282027	56.4362574875266	41.8307546945562	79.764738121908	59.1253054143399	72.1738080204621	85.2089603851805
HG00112	59.1603523768075	7.04928594197615	21.8936383646795	8.7685377850757	20.3335628018836	1.70673440269204	0.634388072738695	5.41869344530741	13.9892152347616	6.25008491217283	60.7861439825333	93.4446303825273	16.8818720737533	0.741801844196407	36.7276733093604	4.92607976752981	20.0029179354666	4.81158875879476	2.35138855579723	0.43283793801771	0.137125931048062	6.21930977648699	18.5528820673395	6.62333251873041	3.7223245000391	0.675871581453246	0.694531205973922	19.0640959155516	12.7955084890317	2.08565589418281	10.6376465971734	23.3796961924121	5.82048783439441	22.4793952713067	26.1192589949731	22.9555273545579	0.968020108950571	16.4134958892311	31.6775534890866	67.2014197392379	14.6218783058629	13.6538148857765	91.0587022600436
HG00113	45.2630579557525	47.3380011454294	50.9421984573164	35.8674368034401	58.1889099877515	35.8574017798526	58.6069133907894	31.0489723699818	55.8298755893228	61.1551105720271	69.0147977648648	58.6507248496562	44.6626298307996	30.7697259082307	19.2097937794136	43.8630686184015	59.5974414497365	28.504711544691	69.4531458527341	16.073405575331	23.7934896506568	43.674732310084	57.4216360386298	67.1550308595948	33.3579870720781	33.8734959968923	60.810486994505	53.1927910332403	24.6613971184046	68.1842316968176	64.9968378812489	35.8904733037022	16.8817603642535	53.4955217375674	29.7993857683535	64.7709386333635	59.4605735072872	43.1772881344128	8.19574257120893	75.3965002141145	53.0565525661885	55.7167167988446	91.1523290554216
HG00114	2.68105224393757	3.62694536402391	20.7669796986186	3.98396267725657	34.4995244769112	4.58443083612412	9.7358866224443	25.1458636076166	5.27227182237385	14.1173764995206	6.95599224625252	57.674272310186	24.4292989823913	1.69486292355263	44.9365795555781	8.2750397924813	25.6375737384408	41.0351671838797	30.1835296748252	19.4499862357349	17.4818732121694	30.9000869881317	15.4456142350127	24.5182226637081	27.6381691108346	6.90922210183702	9.03749584961667	62.9116927267163	67.2044160692333	8.15056914888421	35.2818172584	12.2750890103991	2.51184108651422	70.756121956379	70.5796658160038	29.9457087885294	1.30012186210872	0.806467485415424	3.27694664549889	22.1273974694218	9.01569397046171	6.87263609280479	79.6535760835158
HG00115	95.6247017374753	93.2727778408954	71.0511027006958	50.8918714985459	51.7906089934576	37.64219584127	63.3004541754604	25.6132697098944	6.03211717681673	86.2689999302089	76.947210058511	56.105476989875	88.8558047411667	57.6531918918311	94.4885557864754	99.2742615033741	23.8206222371676	32.0028061513806	69.2437677304348	52.7091341621477	51.0188616018661	66.4960503399483	73.2500198800647	92.6089320624562	86.4114719656407	40.8096126969681	56.1992616638212	97.5412426729185	90.5575636316673	65.9617676800163	52.2558711980206	41.8651587323642	46.0832130663001	86.7483546073956	96.0826497498866	93.9614087644257	68.802761908788	87.4629595450176	54.7866333637462	99.5288675480061	93.5521655250385	92.846369810697	9.06736193715426
HG00116	6.63320445372227	7.25748197791488	71.2935438525261	51.4239364881584	41.4318279874378	57.7032739992314	44.2636341102862	80.0733226307101	76.9058405123437	51.2216943845453	24.1591801542664	21.3898000879629	76.98755015647	51.9375898364909	5.7865043445607	56.0653883497081	88.0165887651884	54.6673500169247	30.7841069458553	25.2823721530176	27.8196776284203	61.7634697217394	70.2481135147196	42.5310719440473	0.680422344892297	47.679058141179	58.1211153259428	30.0545650262356	14.6798690454384	31.9798249105562	81.0109049919368	34.9341286353039	63.1802015703849	6.85697821570642	10.5449673315522	59.8486786622997	38.4939521840818	7.86913488801345	66.2436113092288	30.6669405175921	12.0363409583867	13.1928358481787	61.5741505311327
HG00117	69.5297923088716	74.7427046463934	63.9246981404005	59.2403747098565	20.0205865611075	20.7405168882463	9.34065278479612	18.8303346443175	46.630097266866	64.8661401529204	47.8223290969395	89.1656849963779	77.0254009480695	22.1183273561581	71.6390558865184	56.5072320756244	37.9988007913806	13.5270606350576	17.6778793854903	15.7780463740853	14.9484843282902	70.6388624003674	88.816117058624	53.6224777214579	86.5166333560852	9.37887553356832	17.997781446286	87.1933604498944	66.7660613424323	28.7233000667959	76.1980922129478	15.8295492504629	18.4734668126846	16.0984282205068	19.7670786605878	47.1246705281239	17.4831486745285	59.1172649861014	92.8465212699929	43.7896013685428	90.8648392138914	87.8457884704867	8.90733096402532
