"","IID","ntile_PGS_LDP2Auto","ntile_PGS_prscsx","ntile_PGS000010","ntile_PGS000011","ntile_PGS000012","ntile_PGS000013","ntile_PGS000018","ntile_PGS000019","ntile_PGS000057","ntile_PGS000058","ntile_PGS000059","ntile_PGS000116","ntile_PGS000200","ntile_PGS000296","ntile_PGS000329","ntile_PGS000337","ntile_PGS000349","ntile_PGS000710","ntile_PGS000746","ntile_PGS000747","ntile_PGS000748","ntile_PGS000749","ntile_PGS000798","ntile_PGS000818","ntile_PGS000899","ntile_PGS000962","ntile_PGS001048","ntile_PGS001314","ntile_PGS001315","ntile_PGS001316","ntile_PGS001317","ntile_PGS001355","ntile_PGS001780","ntile_PGS001839","ntile_PGS002048","ntile_PGS002244","ntile_PGS002262","ntile_PGS002775","ntile_PGS002776","ntile_PGS002777","ntile_PGS002778","ntile_PGS002809","ntile_PGS003355","ntile_PGS003356","ntile_PGS003438","ntile_PGS003446","ntile_PGS003725","ntile_PGS003726","ntile_PGS003727","ntile_PGS003866"
"23","NA07034",21.5682575086712,12.8615264543461,37.5586192190929,60.8790071905492,20.330263101945,6.67359894185882,2.89681850347438,18.3828140692548,48.0447677715186,46.0820738553403,28.3836233604187,63.521761303167,63.5715309741248,1.94558887517986,18.0403438684496,7.62356431457537,54.4048723848059,42.4833470529164,17.7156892291381,4.1395237010793,0.396929593836934,0.451880763595088,57.7261898263607,21.491640261185,35.9431750909219,26.6375348708274,33.9658748952159,41.9678599646346,50.2921667239657,61.9067513276817,39.397481346703,5.52783370928639,3.0449049451296,9.33903898283484,7.63726557305279,12.6492527262058,17.3960797003032,28.0398379756862,10.6251202811241,77.3329603234782,85.900901577427,55.2083599957423,11.9066692188272,5.09358744268315,13.4746486481943,6.84318175342932,4.52849260794594,9.93000302499127,94.5590408272963,6.68346600461295
"24","HGDP00649",11.2505970240495,35.1248213306463,37.5930616295162,58.4020413870957,9.68274789725103,16.6279865196388,18.2410877988317,59.9193453708818,40.1635063852435,61.2026935176866,73.8360351342003,84.3009949287991,44.1749425153505,24.9404507689878,39.4034178467224,4.49681695408107,0.631325291702295,99.7284498812767,73.4029463634621,16.9623348807308,4.6676972631658,5.48206056039423,67.0917613318387,80.8640770761146,26.2005873777255,16.1329253328188,29.5757113958225,89.5612504070569,87.6144637842392,90.846291245028,90.4656457034123,1.44844742594693,22.9857693052342,81.9224251081501,42.9333734841239,22.2561298544325,98.8580341086121,30.942991985416,17.2683410850807,47.6962025964805,48.906464395926,53.4115286028526,21.7098575596137,7.19055876080652,58.8138814543831,9.61503508238905,21.5040449652422,25.4278811483194,32.7553452728033,9.09940815955533
"25","HG02851",45.516175598462,27.7697095214852,94.5928042733915,97.0531494560034,79.5710502024451,68.2167279400268,88.7362578383705,95.6659151094418,82.9552456756092,90.151757746171,85.825699837193,11.7955739241711,60.8268834648559,72.6532004572904,74.106842605621,4.3248333226158,82.4072233031212,76.5562834751771,81.7214540759448,17.2186779575384,63.9873748876271,69.1467335636729,98.8226424908759,62.9873657582813,92.0633409761151,24.2901584401603,91.7726887659233,50.8149969748248,43.0479773857599,51.2487082531545,9.70972616419712,58.4199366988532,60.579637123748,57.0079497128594,46.4570231193717,58.1538224745918,73.0511698797153,55.2485403809613,93.7020701322182,79.1007806045779,32.3836466573664,98.6255654675017,87.3437387670762,63.4221610479787,84.3152512027197,46.0759546497399,60.8613363665395,63.7634045454143,42.389410217641,18.5800889995684
"26","HGDP00699",30.2036742766625,69.5422531951297,43.2060853047014,55.4700212844271,75.2012470705437,43.9021017328504,16.8459874363521,34.0400675094788,68.3533000686725,28.6364649438026,55.4664358674472,68.2722272944085,70.3593989525699,41.6941067117659,49.1001495798867,37.5808197451263,57.4600974314939,46.7759587011324,35.0977673286516,19.7177802356714,25.1245104798135,28.6282733321171,14.9493428432316,54.6867278668009,21.3375318950743,53.2684914931548,41.101434544345,39.4991889651299,27.5025570362116,18.0231419189134,24.9040675945011,47.9813812534272,71.0808954661715,81.1648435958908,81.3772785179852,56.8918261631683,11.1626291395547,16.8055564896459,10.0662851882736,94.8012593958834,74.6748145899333,49.6378104162332,37.7471848118151,84.8418419825662,37.7710572167831,32.5537458169601,92.6013160408279,82.1013167790592,28.059844080392,75.3972528585385
"27","HG02394",62.6735010601486,61.3720389185384,48.2656894374617,76.1484434214736,45.6373402720393,59.3109421502043,68.5675757447713,91.1506765071459,81.5498088754221,79.2305309812718,82.0699721480724,75.6937526344833,50.8292885220827,32.6579524968017,65.6493974306179,48.5189985288179,66.2709135434265,41.9440836985361,66.8439339551284,35.7220982513014,38.6037102982417,37.4652874076771,97.2228946494381,78.3539536740431,90.7118386090235,80.6764108764672,16.6568527716037,20.8093792807793,20.7665615076952,17.3084393566872,49.9926955769425,63.9847294744237,26.3260869310185,52.2616806961688,47.399316182425,56.2936372645483,98.1726043103804,69.199315132699,47.0056686575135,88.9746264201979,89.3530732201282,81.4191103630771,46.5751418031597,31.1843631615219,46.0636271724607,16.1383859075133,17.9312210591652,28.3143215980311,8.50538543014322,46.6025263948805
"28","HG00373",76.5831588923521,72.3015148262659,79.723722864645,50.3162985372294,94.1798164088199,64.1784399413394,96.5094329076256,67.3685776855032,46.2849323821035,68.3632587290093,87.7196458244106,28.5478391164509,13.9712342525195,46.9868911768175,96.8891332760875,93.2791675612321,75.3660419345477,2.25133590859684,81.1846884074434,95.7564722198012,56.5821384351169,43.5239828251844,67.990071691084,50.2387923603246,72.4638952017923,82.9234143607082,27.7295558076519,57.8365757731507,53.3376777325253,43.3814491731415,69.0504971198907,51.8926745297861,79.5390887243081,27.2573412975646,54.2721612858127,88.3784318621788,70.2858637487893,62.1407496898177,80.2869801968537,77.0841746172956,63.0075629793279,78.5131240823078,92.6297521175264,82.8584299505643,40.1642438393648,97.764067408847,70.1369651581394,73.1573559203085,93.3555487868853,60.2815571539638
"29","NA19445",53.814578667875,24.7220041483316,42.3401141695802,17.5201613149496,16.658738856768,98.9047613674755,59.3960853852515,62.2937059515189,9.34909410085177,42.6384627760636,5.3550597272366,57.3324189998673,37.7163452371724,98.7883647337731,95.1938622587699,60.5350381958529,52.2708085974499,55.9467474934226,54.4874410082078,85.9366748251695,88.7082637468863,91.7373101883421,50.4280815521278,12.1988015045656,40.2848259723253,31.6639393446825,13.0461177312991,66.0214646471541,56.034096985132,55.6023671065067,15.1879017476567,98.9666272817947,96.1459976872996,55.6564578551521,34.3227898983664,98.3663507648078,89.8399018888843,35.5454709704336,73.2195821293425,78.5103517971771,93.0799421192646,24.3309650486973,95.4804084988368,73.4373118885412,39.2196280817542,20.3873543474655,66.1042153867118,64.2393967502461,6.75228520530914,68.5842199097652
"30","HG02774",65.7765737132448,64.2528034911295,69.901878086892,36.0491647561418,39.5010312636269,65.0051405044327,30.3497887757263,30.0992718043359,64.0086119774789,5.09299134930399,93.8860271604325,43.4362256438562,47.8320475449005,63.1213854010851,39.234608547679,58.1831221753626,13.5706329320204,7.77822750043561,73.4499405225452,37.0270729891991,15.2077291978337,8.39368408749155,10.1804507278657,23.9120104902031,4.33678826897293,38.1542747337356,42.4865029199641,28.0002069145306,18.3617619393827,18.7352173226238,16.1566834601417,39.9638193000023,45.5407481330444,13.3424661129381,4.19183192392933,45.6390833839077,53.6064015855077,90.9233023926427,56.1626453019959,80.4828835175746,73.994392243552,30.0770378287802,56.3888329384132,71.6843258365445,26.6390692899914,64.7760347698457,43.0287554252815,47.2328416612452,42.624631144039,18.3773191175364
"31","HGDP01171",2.69641712012739,17.3838623683259,8.82995472753423,11.4395893763131,14.7151422171538,9.0945836344367,10.8176192291039,60.4132639026093,43.4230775353904,29.4722882567015,9.81610249703829,70.4053323134133,9.35016694865554,2.53392916875231,45.2046631626366,48.1190371044311,62.3383823316521,31.7092329841732,29.5434599865825,13.139745602662,10.7482255267534,12.3102766401809,31.8236647585032,6.87078936043806,15.6007598284313,17.8719368441268,32.1096155817119,32.3295824768987,47.488810064221,51.7359248288565,29.9910349385215,13.5917706570083,9.56403993382607,29.6273584258469,11.165811415907,23.8744037643273,14.7667202595699,29.0908052719046,8.33969338690818,43.4166178350425,44.3249030725716,37.212937712189,25.0081902266891,5.4287224096758,28.3400436835767,27.4684246839248,4.39756210966794,6.71885567897044,88.2703430106946,1.86181017596212
"32","NA12146",51.0155344824205,32.5787736559437,8.4072627418742,9.56087384177443,47.9347701076616,8.46911778696723,47.5196060061585,29.6727699635773,4.77540145756501,25.9825456768789,40.3736336117013,14.4583329173502,11.9483335300878,8.51468649305736,43.1490839289255,44.4176635616787,54.5526220741138,29.7123190523765,10.8704993640329,50.4068844309601,33.7046608564953,45.9911042788555,16.778873754514,22.8084187328595,25.3380480058041,66.0916426855495,85.0020664033616,26.4658064459732,32.2347923595879,27.5615261412057,58.0715903635944,14.8525862885358,27.7790914207526,48.611936163025,67.6224627812829,11.2337384555687,47.186456563886,21.1587300439497,9.67884366319929,93.1149271914793,68.4121426295968,5.66367089023798,16.799053956003,25.1301075901993,5.71084601899636,63.1297700340246,31.9494938343685,32.6981791680046,14.6891870978098,35.0532198928
